,year,category,artist,nominee,association
0,1977,Best British Album,The Beatles,The Beatles,BRIT Music Awards
1,1977,Best British Female,Shirley Bassey,Shirley Bassey,BRIT Music Awards
2,1977,Best British Female Newcomer,Julie Covington,Julie Covington,BRIT Music Awards
3,1977,Best British Group,The Beatles,The Beatles,BRIT Music Awards
4,1977,Best British Male,Cliff Richard,Cliff Richard,BRIT Music Awards
5,1977,Best British Male Newcomer,Graham Parker,Graham Parker,BRIT Music Awards
6,1977,Best British Producer,George Martin,George Martin,BRIT Music Awards
7,1977,Best British Single,Procul Harum,Procul Harum,BRIT Music Awards
8,1977,Outstanding Contribution,L.G.Wood,L.G.Wood,BRIT Music Awards
9,1977,Best British Album,The Beatles,The Beatles,BRIT Music Awards
10,1977,Best British Female,Shirley Bassey,Shirley Bassey,BRIT Music Awards
11,1977,Best British Female Newcomer,Julie Covington,Julie Covington,BRIT Music Awards
12,1977,Best British Group,The Beatles,The Beatles,BRIT Music Awards
13,1977,Best British Male,Cliff Richard,Cliff Richard,BRIT Music Awards
14,1977,Best British Male Newcomer,Graham Parker,Graham Parker,BRIT Music Awards
15,1977,Best British Producer,George Martin,George Martin,BRIT Music Awards
16,1977,Best British Single,Procul Harum,Procul Harum,BRIT Music Awards
17,1977,Outstanding Contribution,L.G.Wood,L.G.Wood,BRIT Music Awards
18,1982,Best British Album,Adam & The Ants,Adam & The Ants,BRIT Music Awards
19,1982,Best British Female,Randy Crawford,Randy Crawford,BRIT Music Awards
20,1982,Best British Group,The Police,The Police,BRIT Music Awards
21,1982,Best British Male,Cliff Richard,Cliff Richard,BRIT Music Awards
22,1982,Best British Newcomer,The Human League,The Human League,BRIT Music Awards
23,1982,Best British Producer,Martin Rushent,Martin Rushent,BRIT Music Awards
24,1982,Best British Single,Soft Cell,Soft Cell,BRIT Music Awards
25,1982,Best Classical Recording,Simon Rattle,Simon Rattle,BRIT Music Awards
26,1982,Outstanding Contribution,John Lennon,John Lennon,BRIT Music Awards
27,1982,Best British Album,Adam & The Ants,Adam & The Ants,BRIT Music Awards
28,1982,Best British Female,Randy Crawford,Randy Crawford,BRIT Music Awards
29,1982,Best British Group,The Police,The Police,BRIT Music Awards
30,1982,Best British Male,Cliff Richard,Cliff Richard,BRIT Music Awards
31,1982,Best British Newcomer,The Human League,The Human League,BRIT Music Awards
32,1982,Best British Producer,Martin Rushent,Martin Rushent,BRIT Music Awards
33,1982,Best British Single,Soft Cell,Soft Cell,BRIT Music Awards
34,1982,Best Classical Recording,Simon Rattle,Simon Rattle,BRIT Music Awards
35,1982,Outstanding Contribution,John Lennon,John Lennon,BRIT Music Awards
36,1983,Best British Female,Kim Wilde,Kim Wilde,BRIT Music Awards
37,1983,Best British Group,Dire Straits,Dire Straits,BRIT Music Awards
38,1983,Best British Male,Paul McCartney,Paul McCartney,BRIT Music Awards
39,1983,Best British Newcomer,Yazoo,Yazoo,BRIT Music Awards
40,1983,Best British Producer,Trevor Horn,Trevor Horn,BRIT Music Awards
41,1983,Best British Single,Dexys Midnight Runners,Dexys Midnight Runners,BRIT Music Awards
42,1983,Best Classical Recording,John Williams,John Williams,BRIT Music Awards
43,1983,Best International Solo Artist,Kid Creole,Kid Creole,BRIT Music Awards
44,1983,Best Selling Album,Barbara Streisand,Barbara Streisand,BRIT Music Awards
45,1983,Life Acheivement,Pete Townsend,Pete Townsend,BRIT Music Awards
46,1983,Outstanding Contribution,The Beatles,The Beatles,BRIT Music Awards
47,1983,Sony Trophy for Technical Excellence,Paul McCartney,Paul McCartney,BRIT Music Awards
48,1983,Special Award,Chris Wright,Chris Wright,BRIT Music Awards
49,1983,Best British Female,Kim Wilde,Kim Wilde,BRIT Music Awards
50,1983,Best British Group,Dire Straits,Dire Straits,BRIT Music Awards
51,1983,Best British Male,Paul McCartney,Paul McCartney,BRIT Music Awards
52,1983,Best British Newcomer,Yazoo,Yazoo,BRIT Music Awards
53,1983,Best British Producer,Trevor Horn,Trevor Horn,BRIT Music Awards
54,1983,Best British Single,Dexys Midnight Runners,Dexys Midnight Runners,BRIT Music Awards
55,1983,Best Classical Recording,John Williams,John Williams,BRIT Music Awards
56,1983,Best International Solo Artist,Kid Creole,Kid Creole,BRIT Music Awards
57,1983,Best Selling Album,Barbara Streisand,Barbara Streisand,BRIT Music Awards
58,1983,Life Acheivement,Pete Townsend,Pete Townsend,BRIT Music Awards
59,1983,Outstanding Contribution,The Beatles,The Beatles,BRIT Music Awards
60,1983,Sony Trophy for Technical Excellence,Paul McCartney,Paul McCartney,BRIT Music Awards
61,1983,Special Award,Chris Wright,Chris Wright,BRIT Music Awards
62,1984,Best British Female,Annie Lennox,Annie Lennox,BRIT Music Awards
63,1984,Best British Group,Culture Club,Culture Club,BRIT Music Awards
64,1984,Best British Male,David Bowie,David Bowie,BRIT Music Awards
65,1984,Best British Newcomer,Paul Young,Paul Young,BRIT Music Awards
66,1984,Best British Producer,Steve Levine,Steve Levine,BRIT Music Awards
67,1984,Best British Single,Culture Club,Culture Club,BRIT Music Awards
68,1984,Best Classical Recording,Kiri Te Kanawa,Kiri Te Kanawa,BRIT Music Awards
69,1984,Best International Artist,Michael Jackson,Michael Jackson,BRIT Music Awards
70,1984,Best Selling Album,Michael Jackson,Michael Jackson,BRIT Music Awards
71,1984,Outstanding Contribution,George Martin,George Martin,BRIT Music Awards
72,1984,Sony Trophy for Technical Excellence,Spandau Ballet,Spandau Ballet,BRIT Music Awards
73,1984,Best British Female,Annie Lennox,Annie Lennox,BRIT Music Awards
74,1984,Best British Group,Culture Club,Culture Club,BRIT Music Awards
75,1984,Best British Male,David Bowie,David Bowie,BRIT Music Awards
76,1984,Best British Newcomer,Paul Young,Paul Young,BRIT Music Awards
77,1984,Best British Producer,Steve Levine,Steve Levine,BRIT Music Awards
78,1984,Best British Single,Culture Club,Culture Club,BRIT Music Awards
79,1984,Best Classical Recording,Kiri Te Kanawa,Kiri Te Kanawa,BRIT Music Awards
80,1984,Best International Artist,Michael Jackson,Michael Jackson,BRIT Music Awards
81,1984,Best Selling Album,Michael Jackson,Michael Jackson,BRIT Music Awards
82,1984,Outstanding Contribution,George Martin,George Martin,BRIT Music Awards
