,Chord Name,Barre,Position
0,A#5,0,"['x', '1', '3', 'x', 'x', 'x']"
1,A#7#5,6,"['1', 'x', '1', '2', '2', 'x']"
2,A#7#9,6,"['1', '3', '1', '2', '1', '4']"
3,A#7,0,"['x', '1', '3', '1', '3', '1']"
4,A#9,6,"['1', '3', '1', '2', '1', '3']"
5,A#dim,0,"['x', '1', '2', '3', '2', 'x']"
6,A#m,0,"['x', '1', '3', '3', '2', '1']"
7,A#m7,0,"['x', '1', '3', '1', '2', '1']"
8,A#m7b5,0,"['x', '1', 'x', '1', '2', '0']"
9,A#m9,6,"['1', '3', '1', '1', '1', '3']"
10,A#maj,0,"['x', '1', '3', '3', '3', '1']"
11,A#maj7,0,"['x', '1', '3', '2', '3', 'x']"
12,A#sus4,0,"['x', 'x', '3', '3', '4', '1']"
13,A5,0,"['x', '0', '2', 'x', 'x', 'x']"
14,A7#5,5,"['1', 'x', '1', '2', '2', 'x']"
15,A7#9,5,"['1', '3', '1', '2', '1', '4']"
16,A7,0,"['x', '0', '2', '0', '2', '0']"
17,A9,5,"['1', '3', '1', '2', '1', '3']"
18,Ab5,4,"['1', '3', 'x', 'x', 'x', 'x']"
19,Ab7#5,4,"['1', 'x', '1', '2', '2', 'x']"
20,Ab7#9,4,"['1', '3', '1', '2', '1', '4']"
21,Ab7,4,"['1', '3', '2', '1', '1', '1']"
22,Ab9,4,"['1', '3', '1', '2', '1', '3']"
23,Abdim,4,"['1', '2', '3', '1', 'x', 'x']"
24,Abm,4,"['1', '3', '3', '1', '1', '1']"
25,Abm7,4,"['1', '3', '1', '1', '1', '1']"
26,Abm7b5,4,"['2', 'x', '2', '2', '1', 'x']"
27,Abm9,4,"['1', '3', '1', '1', '1', '3']"
28,Abmaj,4,"['1', '3', '3', '2', '1', '1']"
29,Abmaj7,4,"['1', 'x', '2', '2', '1', 'x']"
30,Absus4,0,"['x', 'x', '1', '1', '2', 'x']"
31,Adim,0,"['x', '0', '1', '2', '1', 'x']"
32,Am,0,"['x', '0', '2', '2', '1', '0']"
33,Am7,0,"['x', '0', '2', '0', '1', '0']"
34,Am7b5,4,"['2', 'x', '2', '2', '1', 'x']"
35,Am9,5,"['1', '3', '1', '1', '1', '3']"
36,Amaj,0,"['x', '0', '2', '2', '2', '0']"
37,Amaj7,0,"['x', '0', '2', '1', '2', '0']"
38,Asus4,0,"['x', '0', '2', '2', '3', '0']"
39,B5,0,"['x', '2', '4', 'x', 'x', 'x']"
40,B7#5,7,"['1', 'x', '1', '2', '2', 'x']"
41,B7#9,0,"['x', '2', '1', '2', '3', 'x']"
42,B7,0,"['x', '2', '4', '2', '4', 'x']"
43,B9,7,"['1', '3', '1', '2', '1', '3']"
44,Bb5,0,"['x', '1', '3', 'x', 'x', 'x']"
45,Bb7#5,6,"['1', 'x', '1', '2', '2', 'x']"
46,Bb7#9,6,"['1', '3', '1', '2', '1', '4']"
47,Bb7,0,"['x', '1', '3', '1', '3', '1']"
48,Bb9,6,"['1', '3', '1', '2', '1', '3']"
49,Bbdim,0,"['x', '1', '2', '3', '2', 'x']"
50,Bbm,0,"['x', '1', '3', '3', '2', '1']"
51,Bbm7,0,"['x', '1', '3', '1', '2', '1']"
52,Bbm7b5,0,"['x', '1', 'x', '1', '2', '0']"
53,Bbm9,6,"['1', '3', '1', '1', '1', '3']"
54,Bbmaj,0,"['x', '1', '3', '3', '3', '1']"
55,Bbmaj7,0,"['x', '1', '3', '2', '3', 'x']"
56,Bbsus4,0,"['x', 'x', '3', '3', '4', '1']"
57,Bdim,2,"['x', '1', '2', '3', '2', 'x']"
58,Bm,2,"['x', '1', '3', '3', '2', '1']"
59,Bm7,2,"['x', '1', '3', '1', '2', '1']"
60,Bm7b5,2,"['x', '1', '2', '1', '2', 'x']"
61,Bm9,7,"['1', '3', '1', '1', '1', '3']"
62,Bmaj,2,"['x', '1', '3', '3', '3', '1']"
63,Bmaj7,2,"['x', '1', '3', '2', '3', '1']"
64,Bsus4,2,"['x', 'x', '3', '3', '4', '1']"
65,C#5,4,"['x', '1', '3', 'x', 'x', 'x']"
66,C#7#5,9,"['1', 'x', '1', '2', '2', 'x']"
67,C#7#9,3,"['x', '2', '1', '2', '3', 'x']"
68,C#7,4,"['x', '1', '3', '1', '3', '1']"
69,C#9,9,"['1', '3', '1', '2', '1', '3']"
70,A#dim,4,"['x', '1', '2', '3', '2', 'x']"
71,C#m,4,"['x', '1', '3', '3', '2', '1']"
72,C#m7,4,"['x', '1', '3', '1', '2', '1']"
73,C#m7b5,4,"['x', '1', '2', '1', '2', 'x']"
74,C#m9,9,"['1', '3', '1', '1', '1', '3']"
75,C#maj,4,"['x', '1', '3', '3', '3', '1']"
76,C#maj7,4,"['x', '1', '3', '2', '3', 'x']"
77,C#sus4,2,"['x', 'x', '3', '3', '4', '1']"
78,C5,3,"['x', '1', '3', 'x', 'x', 'x']"
79,C7#5,8,"['1', 'x', '1', '2', '2', 'x']"
80,C7#9,0,"['x', '3', '2', '3', '4', 'x']"
81,C7,0,"['x', '3', '2', '3', '1', '0']"
82,C9,8,"['1', '3', '1', '2', '1', '3']"
