name,artist_names,popularity,release_date
Show You,{'CXLOE'},45,2018-08-03
Good Love (feat. Tory Lanez),"{'Nafe Smallz', 'Tory Lanez'}",58,2019-06-21
Told You So,{'Paramore'},61,2017-05-12
Fantastic Boy,{'BIGBANG'},0,2011-04-08
Told You,{'Krept & Konan'},0,2017-10-20
Dans mon nuage,{'DTF'},38,2017-05-19
Main Title 'Somewhere in My Memory' (From 'Home Alone') - Voice,"{'John Williams', 'Boston Pops Orchestra'}",27,1970
Bulma,{'RK'},42,2019-04-05
Pankani,{'Moha La Squale'},41,2018-05-25
Menace,{'PNL'},57,2019-04-05
Sharp Edges,{'Linkin Park'},63,2017-05-19
C'est moi Mbappé,{'Gambi'},57,2019-02-03
fiji*,{'Data Luv'},42,2019-09-13
Elvira,{'Naps'},52,2017-05-19
La zone,{'Timal'},42,2018-04-27
Se Eu Tiver Solteiro,{'Mc Don Juan'},52,2017-10-09
Find Me,"{'Sigma', 'Birdy'}",4,2016-11-04
Côte Ouest,{'47ter'},67,2019-06-25
DODI,{'Shindy'},56,2019-01-11
Pardonne-moi,{'Johnny Hallyday'},46,2018-10-19
Winter Wonderland / Don't Worry Be Happy (feat. Tori Kelly),"{'Pentatonix', 'Tori Kelly'}",45,2015-10-30
Blue Christmas,{'Elvis Presley'},53,1957-10-15
Icy (feat. Gucci Mane),"{'Logic', 'Gucci Mane'}",3,2019-05-10
Don't Wanna Know,"{'Maroon 5', 'Kendrick Lamar'}",13,2016-10-11
Mi gyal,{'Hamza'},45,2017-10-27
Nummer,"{'Ufo361', 'RAF Camora'}",61,2019-07-26
DIAMANT,{'Rammstein'},62,2019-05-17
Did You See,{'J Hus'},66,2017-05-12
Trône,{'Booba'},1,2017-12-01
Rock Me Amadeus,"{'Sun Diego', 'Falco'}",47,2018-04-27
Provocar,"{'Lexa', 'Gloria Groove'}",63,2018-11-22
Nena Maldicion (feat. Lenny Tavarez),"{'Paulo Londra', 'Lenny Tavárez'}",7,2018-01-30
Rockin’,{'The Weeknd'},70,2016-11-25
Murcielago,"{'KC Rebell', 'Summer Cem'}",60,2017-06-16
Fällig,"{'Sido', 'Santos'}",50,2019-09-26
Never Forget You,"{'Zara Larsson', 'MNEK'}",76,2017-03-17
Pente noire,{'13 Block'},35,2019-04-26
紙飛行機,{'Awich'},32,2018-10-10
You Were Right,{'RÜFÜS DU SOL'},48,2016-01-22
Too Hotty,"{'Quality Control', 'Migos', 'Eurielle'}",2,2017-08-25
Pour les jaja,{'Moha La Squale'},40,2018-05-25
6 Kiss,"{'Trippie Redd', 'Juice WRLD', 'YNW Melly'}",78,2019-11-22
At My Best (feat. Hailee Steinfeld),"{'Machine Gun Kelly', 'Hailee Steinfeld'}",63,2017-05-12
Papillon,{'S.Pri Noir'},42,2018-05-11
Signs,{'Drake'},70,2017-06-23
Fragen,"{'Azet', 'Zuna'}",53,2019-02-22
Dans l'univers,"{'Nekfeu', 'Vanessa Paradis'}",3,2019-06-06
Hallo Hallo,"{'Azet', 'Zuna'}",51,2019-03-08
Indochine,"{'Columbine', 'Lujipeka'}",37,2018-09-28
Cobertor de Orelha - Ao Vivo,{'Turma do Pagode'},62,2017-08-15
Jonestown (Interlude),{'Post Malone'},62,2018-04-27
Interlude,{'Roméo Elvis'},43,2019-04-12
No Vacancy,{'OneRepublic'},10,2017-04-28
Voyage léger,{'Nekfeu'},60,2019-06-21
Incerteza - Na Praia / Ao Vivo,{'Matheus & Kauan'},0,2016-02-26
Story,{'AI'},60,2006-09-27
Cada um na Sua - Ao Vivo,{'Fernando & Sorocaba'},0,2018-12-07
Mama,{'Maes'},61,2018-11-29
GONG,{'WANIMA'},51,2019-07-17
baum,{'Cro'},47,2017-09-08
Dior Runners,{'NAV'},0,2019-03-22
No Longer Friends,{'Bryson Tiller'},55,2017-05-26
Double Up (feat. Belly and Dom Kennedy),"{'Nipsey Hussle', 'Belly', 'Dom Kennedy'}",71,2018-02-16
Hear Me Calling,{'Juice WRLD'},2,2019-03-01
"Work REMIX (feat. A$AP Rocky, French Montana, Trinidad James & ScHoolboy Q)","{'A$AP Ferg', 'A$AP Rocky', 'French Montana', 'Trinidad James', 'ScHoolboy Q'}",70,2013-08-19
2009,{'Mac Miller'},70,2018-08-03
Doverstreet,{'RIN'},2,2017-03-31
Le magot,{'Koba LaD'},46,2019-04-19
Es Rollt,"{'Maxwell', 'Tory Lanez', 'Gzuz'}",41,2017-03-24
Wavy (feat. Joe Moses),"{'Ty Dolla $ign', 'Joe Moses'}",70,2016-03-25
BruxellesVie,{'Damso'},59,2016-07-08
Ma kush,{'SCH'},38,2017-05-05
Liquide rouge,{'Maes'},64,2019-12-12
At Christmas,{'Kylie Minogue'},8,2016-11-17
Fick Dein Ex,{'Lil Lano'},52,2019-04-12
J'suis dans l'baye,{'Niska'},0,2017-04-07
C'est mon sang,"{'RK', 'Sofiane'}",50,2019-03-07
Honest,{'The Chainsmokers'},62,2017-04-07
O Céu Explica Tudo - Ao Vivo,{'Henrique & Juliano'},59,2017-07-07
Let Me Know (I Wonder Why Freestyle),{'Juice WRLD'},80,2019-12-07
Wünsch mir was,{'METRICKZ'},59,2019-06-07
Dieses Leben,{'Fynn Kliemann'},26,2018-09-28
Makeba - Radio Edit,{'Jain'},53,2016-12-02
Me Beija Com Raiva,{'Jão'},63,2018-08-17
Fabergé,{'RIN'},64,2019-09-27
Hun43rd,{'A$AP Rocky'},58,2018-05-25
Jupiter,{'Little Glee Monster'},51,2018-01-17
Party (feat. Usher & Gucci Mane),"{'Chris Brown', 'Usher', 'Gucci Mane'}",69,2016-12-16
Flex,{'Luciano'},46,2017-11-17
Dancing,{'Kylie Minogue'},44,2018-01-19
