,year,category,artist,nominee,association
0,1984,Video of the Year,The Cars,You Might Think,MTV VMA
1,1985,Video of the Year,Don Henley,The Boys of Summer,MTV VMA
2,1986,Video of the Year,Dire Straits,Money for Nothing,MTV VMA
3,1987,Video of the Year,Peter Gabriel,Sledgehammer,MTV VMA
4,1988,Video of the Year,INXS,"Need You Tonight""/""Mediate",MTV VMA
5,1989,Video of the Year,Neil Young,This Note's for You,MTV VMA
6,1990,Video of the Year,Sinéad O'Connor,Nothing Compares 2 U,MTV VMA
7,1991,Video of the Year,R.E.M.,Losing My Religion,MTV VMA
8,1992,Video of the Year,Van Halen,Right Now,MTV VMA
9,1993,Video of the Year,Pearl Jam,Jeremy,MTV VMA
10,1994,Video of the Year,Aerosmith,Cryin',MTV VMA
11,1995,Video of the Year,TLC,Waterfalls,MTV VMA
12,1996,Video of the Year,The Smashing Pumpkins,"Tonight, Tonight",MTV VMA
13,1997,Video of the Year,Jamiroquai,Virtual Insanity,MTV VMA
14,1998,Video of the Year,Madonna,Ray of Light,MTV VMA
15,1999,Video of the Year,Lauryn Hill,Doo Wop (That Thing),MTV VMA
16,2000,Video of the Year,Eminem,The Real Slim Shady,MTV VMA
17,2001,Video of the Year,"Christina Aguilera, Lil' Kim, Mýa and P!nk(featuring Missy Elliott)",Lady Marmalade,MTV VMA
18,2002,Video of the Year,Eminem,Without Me,MTV VMA
19,2003,Video of the Year,Missy Elliott,Work It,MTV VMA
20,2004,Video of the Year,Outkast,Hey Ya!,MTV VMA
21,2005,Video of the Year,Green Day,Boulevard of Broken Dreams,MTV VMA
22,2006,Video of the Year,Panic! at the Disco,I Write Sins Not Tragedies,MTV VMA
23,2007,Video of the Year,Rihanna(featuring Jay-Z),Umbrella,MTV VMA
24,2008,Video of the Year,Britney Spears,Piece of Me,MTV VMA
25,2009,Video of the Year,Beyoncé,Single Ladies (Put a Ring on It),MTV VMA
26,2010,Video of the Year,Lady Gaga,Bad Romance,MTV VMA
27,2011,Video of the Year,Katy Perry,Firework,MTV VMA
28,2012,Video of the Year,Rihanna(featuring Calvin Harris),We Found Love,MTV VMA
29,2013,Video of the Year,Justin Timberlake,Mirrors,MTV VMA
30,2014,Video of the Year,Miley Cyrus,Wrecking Ball,MTV VMA
31,2015,Video of the Year,Taylor Swift(featuring Kendrick Lamar),Bad Blood,MTV VMA
32,2016,Video of the Year,Beyoncé,Formation,MTV VMA
33,2017,Video of the Year,Kendrick Lamar,Humble,MTV VMA
34,2018,Video of the Year,Camila Cabello(featuring Young Thug),Havana,MTV VMA
35,2019,Video of the Year,Taylor Swift,You Need to Calm Down,MTV VMA
36,2020,Video of the Year,The Weeknd,Blinding Lights,MTV VMA
37,2021,Video of the Year,Lil Nas X,Montero (Call Me By Your Name),MTV VMA
38,2022,Video of the Year,Taylor Swift,All Too Well: The Short Film,MTV VMA
